,time,value
0,00-00-00,7
1,00-30-00,4
2,01-00-00,3
3,01-30-00,1
4,02-00-00,2
5,02-30-00,0
6,03-00-00,1
7,03-30-00,0
8,04-00-00,1
9,04-30-00,1
10,05-00-00,3
11,05-30-00,0
12,06-00-00,3
13,06-30-00,3
14,07-00-00,13
15,07-30-00,28
16,08-00-00,66
17,08-30-00,107
18,09-00-00,72
19,09-30-00,78
20,10-00-00,59
21,10-30-00,41
22,11-00-00,37
23,11-30-00,63
24,12-00-00,45
25,12-30-00,46
26,13-00-00,35
27,13-30-00,68
28,14-00-00,59
29,14-30-00,92
30,15-00-00,105
31,15-30-00,53
32,16-00-00,28
33,16-30-00,54
34,17-00-00,48
35,17-30-00,99
36,18-00-00,100
37,18-30-00,88
38,19-00-00,69
39,19-30-00,59
40,20-00-00,27
41,20-30-00,40
42,21-00-00,36
43,21-30-00,29
44,22-00-00,30
45,22-30-00,21
46,23-00-00,13
47,23-30-00,7
