,time,value
0,00-00-00,8
1,00-30-00,5
2,01-00-00,5
3,01-30-00,3
4,02-00-00,5
5,02-30-00,0
6,03-00-00,1
7,03-30-00,0
8,04-00-00,1
9,04-30-00,2
10,05-00-00,0
11,05-30-00,1
12,06-00-00,4
13,06-30-00,7
14,07-00-00,8
15,07-30-00,37
16,08-00-00,144
17,08-30-00,200
18,09-00-00,119
19,09-30-00,114
20,10-00-00,60
21,10-30-00,84
22,11-00-00,70
23,11-30-00,80
24,12-00-00,85
25,12-30-00,112
26,13-00-00,78
27,13-30-00,102
28,14-00-00,62
29,14-30-00,55
30,15-00-00,49
31,15-30-00,51
32,16-00-00,31
33,16-30-00,48
34,17-00-00,80
35,17-30-00,136
36,18-00-00,163
37,18-30-00,138
38,19-00-00,135
39,19-30-00,79
40,20-00-00,56
41,20-30-00,63
42,21-00-00,79
43,21-30-00,62
44,22-00-00,51
45,22-30-00,40
46,23-00-00,26
47,23-30-00,15
