,time,value
0,00-00-00,2
1,00-30-00,22
2,01-00-00,13
3,01-30-00,4
4,02-00-00,9
5,02-30-00,9
6,03-00-00,4
7,03-30-00,1
8,04-00-00,0
9,04-30-00,0
10,05-00-00,3
11,05-30-00,1
12,06-00-00,4
13,06-30-00,3
14,07-00-00,18
15,07-30-00,113
16,08-00-00,250
17,08-30-00,249
18,09-00-00,120
19,09-30-00,116
20,10-00-00,78
21,10-30-00,60
22,11-00-00,75
23,11-30-00,84
24,12-00-00,98
25,12-30-00,126
26,13-00-00,109
27,13-30-00,102
28,14-00-00,74
29,14-30-00,52
30,15-00-00,53
31,15-30-00,40
32,16-00-00,56
33,16-30-00,64
34,17-00-00,71
35,17-30-00,91
36,18-00-00,161
37,18-30-00,138
38,19-00-00,120
39,19-30-00,96
40,20-00-00,70
41,20-30-00,72
42,21-00-00,68
43,21-30-00,68
44,22-00-00,56
45,22-30-00,76
46,23-00-00,54
47,23-30-00,23
