,time,value
0,00-00-00,14
1,00-30-00,7
2,01-00-00,2
3,01-30-00,2
4,02-00-00,2
5,02-30-00,5
6,03-00-00,1
7,03-30-00,2
8,04-00-00,0
9,04-30-00,2
10,05-00-00,1
11,05-30-00,0
12,06-00-00,0
13,06-30-00,2
14,07-00-00,1
15,07-30-00,3
16,08-00-00,9
17,08-30-00,22
18,09-00-00,26
19,09-30-00,21
20,10-00-00,14
21,10-30-00,12
22,11-00-00,23
23,11-30-00,45
24,12-00-00,40
25,12-30-00,28
26,13-00-00,30
27,13-30-00,25
28,14-00-00,27
29,14-30-00,11
30,15-00-00,15
31,15-30-00,11
32,16-00-00,18
33,16-30-00,21
34,17-00-00,28
35,17-30-00,40
36,18-00-00,30
37,18-30-00,34
38,19-00-00,23
39,19-30-00,20
40,20-00-00,17
41,20-30-00,21
42,21-00-00,11
43,21-30-00,24
44,22-00-00,16
45,22-30-00,16
46,23-00-00,15
47,23-30-00,10
