,time,value
0,00-00-00,0
1,00-30-00,0
2,01-00-00,1
3,01-30-00,2
4,02-00-00,1
5,02-30-00,1
6,03-00-00,3
7,03-30-00,1
8,04-00-00,1
9,04-30-00,0
10,05-00-00,0
11,05-30-00,1
12,06-00-00,2
13,06-30-00,1
14,07-00-00,4
15,07-30-00,3
16,08-00-00,2
17,08-30-00,11
18,09-00-00,16
19,09-30-00,16
20,10-00-00,13
21,10-30-00,11
22,11-00-00,18
23,11-30-00,35
24,12-00-00,48
25,12-30-00,34
26,13-00-00,26
27,13-30-00,55
28,14-00-00,23
29,14-30-00,20
30,15-00-00,18
31,15-30-00,26
32,16-00-00,23
33,16-30-00,30
34,17-00-00,32
35,17-30-00,36
36,18-00-00,41
37,18-30-00,46
38,19-00-00,36
39,19-30-00,34
40,20-00-00,30
41,20-30-00,22
42,21-00-00,19
43,21-30-00,59
44,22-00-00,22
45,22-30-00,16
46,23-00-00,16
47,23-30-00,7
