,time,value
0,00-00-00,13
1,00-30-00,4
2,01-00-00,2
3,01-30-00,0
4,02-00-00,1
5,02-30-00,3
6,03-00-00,1
7,03-30-00,0
8,04-00-00,0
9,04-30-00,1
10,05-00-00,1
11,05-30-00,2
12,06-00-00,4
13,06-30-00,2
14,07-00-00,5
15,07-30-00,18
16,08-00-00,29
17,08-30-00,61
18,09-00-00,26
19,09-30-00,39
20,10-00-00,14
21,10-30-00,31
22,11-00-00,63
23,11-30-00,117
24,12-00-00,103
25,12-30-00,88
26,13-00-00,56
27,13-30-00,39
28,14-00-00,38
29,14-30-00,39
30,15-00-00,71
31,15-30-00,98
32,16-00-00,48
33,16-30-00,51
34,17-00-00,56
35,17-30-00,109
36,18-00-00,92
37,18-30-00,124
38,19-00-00,84
39,19-30-00,99
40,20-00-00,42
41,20-30-00,27
42,21-00-00,31
43,21-30-00,21
44,22-00-00,30
45,22-30-00,23
46,23-00-00,17
47,23-30-00,7
