,time,value
0,00-00-00,19
1,00-30-00,13
2,01-00-00,10
3,01-30-00,3
4,02-00-00,9
5,02-30-00,3
6,03-00-00,4
7,03-30-00,2
8,04-00-00,3
9,04-30-00,1
10,05-00-00,1
11,05-30-00,3
12,06-00-00,4
13,06-30-00,7
14,07-00-00,26
15,07-30-00,51
16,08-00-00,55
17,08-30-00,53
18,09-00-00,31
19,09-30-00,53
20,10-00-00,13
21,10-30-00,37
22,11-00-00,23
23,11-30-00,38
24,12-00-00,15
25,12-30-00,20
26,13-00-00,15
27,13-30-00,20
28,14-00-00,18
29,14-30-00,18
30,15-00-00,20
31,15-30-00,25
32,16-00-00,12
33,16-30-00,32
34,17-00-00,18
35,17-30-00,45
36,18-00-00,64
37,18-30-00,47
38,19-00-00,52
39,19-30-00,51
40,20-00-00,36
41,20-30-00,31
42,21-00-00,52
43,21-30-00,53
44,22-00-00,43
45,22-30-00,81
46,23-00-00,54
47,23-30-00,32
