,time,value
0,00-00-00,0
1,00-30-00,1
2,01-00-00,0
3,01-30-00,1
4,02-00-00,0
5,02-30-00,1
6,03-00-00,3
7,03-30-00,0
8,04-00-00,0
9,04-30-00,0
10,05-00-00,0
11,05-30-00,0
12,06-00-00,0
13,06-30-00,1
14,07-00-00,6
15,07-30-00,12
16,08-00-00,20
17,08-30-00,34
18,09-00-00,23
19,09-30-00,53
20,10-00-00,60
21,10-30-00,36
22,11-00-00,38
23,11-30-00,112
24,12-00-00,59
25,12-30-00,47
26,13-00-00,42
27,13-30-00,67
28,14-00-00,44
29,14-30-00,34
30,15-00-00,41
31,15-30-00,53
32,16-00-00,36
33,16-30-00,30
34,17-00-00,41
35,17-30-00,96
36,18-00-00,68
37,18-30-00,18
38,19-00-00,14
39,19-30-00,9
40,20-00-00,20
41,20-30-00,21
42,21-00-00,38
43,21-30-00,13
44,22-00-00,5
45,22-30-00,4
46,23-00-00,7
47,23-30-00,1
