,time,value
0,00-00-00,14
1,00-30-00,5
2,01-00-00,7
3,01-30-00,3
4,02-00-00,8
5,02-30-00,3
6,03-00-00,4
7,03-30-00,2
8,04-00-00,0
9,04-30-00,0
10,05-00-00,1
11,05-30-00,0
12,06-00-00,1
13,06-30-00,4
14,07-00-00,10
15,07-30-00,8
16,08-00-00,22
17,08-30-00,158
18,09-00-00,62
19,09-30-00,53
20,10-00-00,42
21,10-30-00,44
22,11-00-00,44
23,11-30-00,50
24,12-00-00,107
25,12-30-00,88
26,13-00-00,70
27,13-30-00,87
28,14-00-00,70
29,14-30-00,46
30,15-00-00,57
31,15-30-00,50
32,16-00-00,51
33,16-30-00,52
34,17-00-00,80
35,17-30-00,136
36,18-00-00,127
37,18-30-00,92
38,19-00-00,71
39,19-30-00,53
40,20-00-00,28
41,20-30-00,36
42,21-00-00,58
43,21-30-00,62
44,22-00-00,60
45,22-30-00,84
46,23-00-00,60
47,23-30-00,4
