,time,value
0,00-00-00,1
1,00-30-00,0
2,01-00-00,1
3,01-30-00,1
4,02-00-00,0
5,02-30-00,0
6,03-00-00,0
7,03-30-00,0
8,04-00-00,0
9,04-30-00,2
10,05-00-00,0
11,05-30-00,1
12,06-00-00,0
13,06-30-00,1
14,07-00-00,1
15,07-30-00,5
16,08-00-00,5
17,08-30-00,4
18,09-00-00,17
19,09-30-00,17
20,10-00-00,16
21,10-30-00,15
22,11-00-00,14
23,11-30-00,14
24,12-00-00,24
25,12-30-00,29
26,13-00-00,17
27,13-30-00,19
28,14-00-00,18
29,14-30-00,18
30,15-00-00,11
31,15-30-00,6
32,16-00-00,13
33,16-30-00,13
34,17-00-00,18
35,17-30-00,24
36,18-00-00,28
37,18-30-00,23
38,19-00-00,21
39,19-30-00,13
40,20-00-00,15
41,20-30-00,11
42,21-00-00,19
43,21-30-00,6
44,22-00-00,8
45,22-30-00,17
46,23-00-00,16
47,23-30-00,4
