,time,value
0,00-00-00,2
1,00-30-00,3
2,01-00-00,0
3,01-30-00,1
4,02-00-00,1
5,02-30-00,1
6,03-00-00,1
7,03-30-00,0
8,04-00-00,1
9,04-30-00,1
10,05-00-00,0
11,05-30-00,1
12,06-00-00,1
13,06-30-00,6
14,07-00-00,11
15,07-30-00,55
16,08-00-00,88
17,08-30-00,76
18,09-00-00,71
19,09-30-00,159
20,10-00-00,59
21,10-30-00,63
22,11-00-00,103
23,11-30-00,170
24,12-00-00,103
25,12-30-00,84
26,13-00-00,93
27,13-30-00,166
28,14-00-00,104
29,14-30-00,113
30,15-00-00,68
31,15-30-00,144
32,16-00-00,72
33,16-30-00,73
34,17-00-00,100
35,17-30-00,142
36,18-00-00,132
37,18-30-00,103
38,19-00-00,59
39,19-30-00,85
40,20-00-00,61
41,20-30-00,51
42,21-00-00,77
43,21-30-00,53
44,22-00-00,57
45,22-30-00,24
46,23-00-00,22
47,23-30-00,6
