,time,value
0,00-00-00,1
1,00-30-00,0
2,01-00-00,0
3,01-30-00,0
4,02-00-00,0
5,02-30-00,0
6,03-00-00,1
7,03-30-00,0
8,04-00-00,0
9,04-30-00,0
10,05-00-00,0
11,05-30-00,0
12,06-00-00,0
13,06-30-00,2
14,07-00-00,2
15,07-30-00,2
16,08-00-00,11
17,08-30-00,21
18,09-00-00,15
19,09-30-00,15
20,10-00-00,12
21,10-30-00,11
22,11-00-00,18
23,11-30-00,19
24,12-00-00,24
25,12-30-00,14
26,13-00-00,25
27,13-30-00,11
28,14-00-00,6
29,14-30-00,14
30,15-00-00,13
31,15-30-00,16
32,16-00-00,27
33,16-30-00,22
34,17-00-00,22
35,17-30-00,31
36,18-00-00,18
37,18-30-00,20
38,19-00-00,14
39,19-30-00,14
40,20-00-00,6
41,20-30-00,12
42,21-00-00,13
43,21-30-00,12
44,22-00-00,4
45,22-30-00,16
46,23-00-00,4
47,23-30-00,1
