,time,value
0,00-00-00,1
1,00-30-00,0
2,01-00-00,0
3,01-30-00,0
4,02-00-00,1
5,02-30-00,2
6,03-00-00,2
7,03-30-00,1
8,04-00-00,0
9,04-30-00,0
10,05-00-00,1
11,05-30-00,1
12,06-00-00,0
13,06-30-00,2
14,07-00-00,9
15,07-30-00,11
16,08-00-00,34
17,08-30-00,30
18,09-00-00,33
19,09-30-00,23
20,10-00-00,20
21,10-30-00,29
22,11-00-00,17
23,11-30-00,30
24,12-00-00,67
25,12-30-00,57
26,13-00-00,49
27,13-30-00,53
28,14-00-00,25
29,14-30-00,30
30,15-00-00,25
31,15-30-00,41
32,16-00-00,47
33,16-30-00,54
34,17-00-00,60
35,17-30-00,112
36,18-00-00,80
37,18-30-00,40
38,19-00-00,52
39,19-30-00,24
40,20-00-00,8
41,20-30-00,25
42,21-00-00,21
43,21-30-00,32
44,22-00-00,18
45,22-30-00,12
46,23-00-00,13
47,23-30-00,3
